claim,label,prediction
Lucy Hale's first name is Karen.,1,0
Ed Gein had worked at several local graveyards.,1,0
Pirates of the Caribbean was added to Tokyo Disneyland in 1983.,1,0
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,1,0
Aarhus is 187 km north and west of Copenhagen.,1,0
Chris Mullin played with a team that was based out of Indianapolis.,1,0
The Catcher in the Rye never deals with issues of innocence and connection.,1,0
A person who was born in August discovered Uranium-235.,1,0
Girl is an album.,1,0
Probot had a guitar in it.,1,0
Lebanon is the place in which John Dolmayan was born.,1,0
Jewell worked with Dr. Dre.,1,0
DodgeBall: A True Underdog Story 's writer and director was Rawson Marshall.,1,0
Producing jazz records is a career of Fred Seibert.,1,0
Ragtime features Samuel L. Jackson.,1,0
Tripartite Alliance is a part of the South African Communist Party.,1,0
Ron Dennis owns a catering company.,1,0
Pirates of the Caribbean was added to Tokyo Disneyland in 1983.,1,0
"With Singapore Airlines, the Airbus A380 entered commercial service.",1,0
Philomena was nominated.,1,0
Ragtime is the final film appearance of James Cagney.,1,0
Warren Beatty worked with Trevor Griffiths.,1,0
Richard Dawkins has been awarded prestigious film awards.,1,0
Caesar is Orson Welles's 1937 Julius Caesar adaptation.,1,0
Soyuz is a series of aircraft.,1,0
Helmand Province is outside of Afghanistan.,1,0
XHamster's The Sex Factor makes eight men and eight women compete to become an actor.,1,0
"Beaverton, Oregon's city center is seven miles west of downtown Portland in the Tualatin River Valley.",1,0
Finding Dory was penned by Victoria Strouse.,1,0
The cinematography of Far from the Madding Crowd was by an English cinematographer.,1,0
"NRG Recording Studios is located outside of North Hollywood, California.",1,0
Brazzers is based in Canada.,1,0
Stephen Moyer worked with Ron Perlman as his co-star in Prince Valiant.,1,0
"""Love the Way You Lie"" is Eminem's best-selling single.",1,0
Alvin and the Chipmunks was directed in America.,1,0
"The End of Time is the Tenth Doctor's final adventure, terminating in his death.",1,0
DodgeBall: A True Underdog Story was written and directed by Rawson Marshall.,1,0
Warren Beatty worked with Trevor Griffiths.,1,0
Alberto Contador won the 2011 Giro d'italiav initially.,1,0
The Dark Tower is a film.,1,0
Susan Collins became the founding director of the Center for Family Business.,1,0
Edison Machine Works was founded to make big motors running on electricity.,1,0
Project Y's mission was to design the first atomic bombs under the Manhattan Project.,1,0
The Republic of Macedonia is a country.,1,0
"Rick Yune was on a series that cancelled on December 12, 2016.",1,0
A United Kingdom is a biographical romantic comedy film.,1,0
Tye Sheridan was an actor in The Tree of Life.,1,0
Helmand Province is outside of Afghanistan.,1,0
"On November 5, 1960, Tilda Swinton was born.",1,0
Temple Grandin stars Claire Danes as Temple Grandin.,1,0
Producing jazz records is a career of Fred Seibert.,1,0
Color of Night came out in 1994.,1,0
The Winds of Winter is an epic fantasy novel.,1,0
Tye Sheridan was an actor in The Tree of Life.,1,0
John Frusciante was incapable of releasing eleven solo albums.,1,0
Mandy Moore is a writer.,1,0
Rhythm Nation was performed on Britain's Got Talent.,1,0
Petyr Baelish is not a real character.,1,0
The Premier League Asia Trophy is a tournament held in Asia.,1,0
"In 1987, Cher was released.",1,0
The Paper stars Marisa Tomei.,1,0
George III of the United Kingdom did not experience the defeat of France.,1,0
Japan national football team had second round advancements in 2010.,1,0
The CONCACAF Champions League is put together for football unions in Central America.,1,0
Northwestern University is the only private college of the Big Ten Conference.,1,0
Stephen Moyer was in Prince Valiant.,1,0
Soul Food was created in 1997.,1,0
The American Civil War lasted 4 years.,1,0
Joe Rogan appeared in Hardball.,1,0
Community Connect Inc. launched Glee.com.,1,0
Team Fortress 2 development was led by John Cook.,1,0
Yves Saint Laurent makes clothes.,1,0
Rage Against the Machine performed at live venues and festivals up until 2011.,1,0
Temple Grandin stars Claire Danes.,1,0
