"claim","true_label","anthropic_raw","deepseek_raw","gemini_raw","openai_raw","anthropic_vote","deepseek_vote","gemini_vote","openai_vote","truth_ensemble"
"Eric Church is an artist.","1","1","1","1","1","1","1","1","1","1"
"Harold Macmillan worked in politics.","1","1","1","1","1","1","1","1","1","1"
"Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.","0","0","0","0","0","-1","-1","-1","-1","0"
"Lucy Hale's first name is Karen.","1","0","0","0","0","-1","-1","-1","-1","0"
"Qin dynasty ended around 300 BC.","0","0","0","0","0","-1","-1","-1","-1","0"
"Wales has a large region rich in coal deposits.","1","1","1","1","1","1","1","1","1","1"
"Natasha Lyonne is not known as Natasha Bianca Lyonne Braunstein.","0","0","1","1","1","-1","1","1","1","1"
"Christian Gottlob Neefe was only a train conductor.","0","0","0","0","0","-1","-1","-1","-1","0"
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities.","1","1","1","1","1","1","1","1","1","1"
"Linkin Park was on hiatus from 2000 to 2005.","0","0","0","0","0","-1","-1","-1","-1","0"
"Tongan is a Polynesian language.","1","1","1","1","1","1","1","1","1","1"
"Jeong Hyeong-don has worked under an entertainment company.","1","1","1","1","1","1","1","1","1","1"
"Ed Gein had worked at several local graveyards.","1","0","1","0","0","-1","1","-1","-1","0"
"Roberto Orci worked with others.","1","1","1","1","1","1","1","1","1","1"
"Granite is a rock.","1","1","1","1","1","1","1","1","1","1"
"The Indian Army is a military force.","1","1","1","1","1","1","1","1","1","1"
"Victoria Palace Theatre is opposite a central London railway terminus.","1","1","1","1","1","1","1","1","1","1"
"Danny Brown is incapable of being a musician.","0","0","0","0","0","-1","-1","-1","-1","0"
"Mount Hood is the fourth highest point in the Atlantic.","0","0","0","0","0","-1","-1","-1","-1","0"
"Ricardo Montalbán was born in 2009.","0","0","0","0","0","-1","-1","-1","-1","0"
"Jeong Hyeong-don was born in 1948.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Mighty Ducks was only produced by a Canadian film producer.","0","0","0","0","0","-1","-1","-1","-1","0"
"Matthew Gray Gubler is a performer.","1","1","1","1","1","1","1","1","1","1"
"The Hunger Games are not a film trilogy.","0","0","0","0","0","-1","-1","-1","-1","0"
"Matthias Corvinus had one of the largest collections of books in Europe during the 15th century.","1","1","1","1","1","1","1","1","1","1"
"Danny Brown is incapable of having any albums.","0","0","0","0","0","-1","-1","-1","-1","0"
"Beaverton, Oregon is only a shantytown.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Wonder Years was a boardgame.","0","0","0","0","0","-1","-1","-1","-1","0"
"X-Men: Apocalypse was announced in 1970.","0","0","0","0","0","-1","-1","-1","-1","0"
"Henry III assumed the throne when he was 65 years old.","0","0","0","0","0","-1","-1","-1","-1","0"
"Morgan Fairchild refuses soap opera roles.","0","0","0","0","0","-1","-1","-1","-1","0"
"Eric Bana has stayed away from acting completely.","0","0","0","0","0","-1","-1","-1","-1","0"
"Rage Against the Machine is a game.","0","0","0","0","0","-1","-1","-1","-1","0"
"Michigan is a U.S. state and a leading destination for recreational boating.","1","1","1","1","1","1","1","1","1","1"
"An Education was created by a writer Lynn Barber.","0","1","1","1","0","1","1","1","-1","1"
"John Goodman is not an actor.","0","0","0","0","0","-1","-1","-1","-1","0"
"Phoenix, Arizona is in southwestern Mexico.","0","0","0","0","0","-1","-1","-1","-1","0"
"The first inauguration of Bill Clinton was held on July 4th.","0","0","0","0","0","-1","-1","-1","-1","0"
"X-Men: Apocalypse's story was worked on by multiple people.","1","1","1","1","1","1","1","1","1","1"
"Paramore is Canadian.","0","0","0","0","0","-1","-1","-1","-1","0"
"Pirates of the Caribbean was added to Tokyo Disneyland in 1983.","1","1","1","0","1","1","1","-1","1","1"
"Vampire Academy was only a critical success.","0","0","0","0","0","-1","-1","-1","-1","0"
"Mickey Rourke appeared in a superhero film based on a Marvel Comics character.","1","1","1","1","1","1","1","1","1","1"
"Kevin Bacon acted in The Woodsman when he was 93 years old.","0","0","0","0","0","-1","-1","-1","-1","0"
"Baz Luhrmann's film Australia stars at least one person.","1","1","1","1","1","1","1","1","1","1"
"Jarhead, a 2005 American biographical war drama, was directed by Jim Jarmusch.","0","0","0","0","0","-1","-1","-1","-1","0"
"The ovary is an organ.","1","1","1","1","1","1","1","1","1","1"
"Jefferson Davis was born in the United States.","1","1","1","1","1","1","1","1","1","1"
"Margaret Thatcher was a prime minister.","1","1","1","1","1","1","1","1","1","1"
"Lucy Hale works in the entertainment industry.","1","1","1","1","1","1","1","1","1","1"
"Microbiologist research promotes information found in immunology.","1","1","1","1","1","1","1","1","1","1"
"Email filtering output is capable of delivering unchanged frogs.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Nottingham Forest F.C. refuse to play soccer.","0","0","0","0","0","-1","-1","-1","-1","0"
"Alexandra Daddario was born in the seventies.","0","0","0","0","0","-1","-1","-1","-1","0"
"Foot Locker is exclusively a technology retailer.","0","0","0","0","0","-1","-1","-1","-1","0"
"Aestheticism favors aesthetics over socio-political themes.","1","1","1","1","1","1","1","1","1","1"
"The Hunger Games film series' first film was directed by a gorilla.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Love Club EP is the debut extended play of singer Ella Marija Lani Yelich-O'Connor.","1","1","1","1","1","1","1","1","1","1"
"The Blue Dog Coalition was formed in the United States.","1","1","1","1","1","1","1","1","1","1"
"Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.","1","1","0","0","1","1","-1","-1","1","0"
"Victoria (Dance Exponents song) was first released in New Zealand in 1998.","0","0","0","0","0","-1","-1","-1","-1","0"
"Aarhus is 187 km north and west of Copenhagen.","1","1","0","0","1","1","-1","-1","1","0"
"The Faroe Islands existed.","1","1","1","1","1","1","1","1","1","1"
"Ed and Lorraine Warren were squids.","0","0","0","0","0","-1","-1","-1","-1","0"
"In 2002, The Adventures of Pluto Nash was released.","1","1","1","1","1","1","1","1","1","1"
"Story of My Life was recorded exclusively by a girl band.","0","0","0","0","0","-1","-1","-1","-1","0"
"Heaven Can Wait is a film adaptation of Harry Segall's play ""Hamlet"".","0","0","0","0","0","-1","-1","-1","-1","0"
"Anne Rice lived in the US.","1","1","1","1","1","1","1","1","1","1"
"Chris Mullin played with a team that was based out of Indianapolis.","1","0","0","0","1","-1","-1","-1","1","0"
"The Catcher in the Rye never deals with issues of innocence and connection.","1","0","0","0","0","-1","-1","-1","-1","0"
"Meteora is by Linkin Park.","1","1","1","1","1","1","1","1","1","1"
"The Cincinnati Kid is only a book.","0","0","0","0","0","-1","-1","-1","-1","0"
"Dan O'Bannon worked primarily in two genres.","1","1","1","1","1","1","1","1","1","1"
"A person who was born in August discovered Uranium-235.","1","0","1","0","1","-1","1","-1","1","1"
"Dakota Fanning is not a model.","0","1","0","0","1","1","-1","-1","1","0"
"Savages was created in 1954.","0","0","0","0","0","-1","-1","-1","-1","0"
"Roberto Orci wrote Star Trek.","1","1","1","1","1","1","1","1","1","1"
"The 2007 Toronto International Film Festival featured The Tracey Fragments.","1","1","1","1","1","1","1","1","1","1"
"Luke Cage was not part of a team.","0","0","0","0","0","-1","-1","-1","-1","0"
"Babur was the third Mughal emperor.","0","0","0","0","0","-1","-1","-1","-1","0"
"Issa Rae appears in Awkward Black Girl.","1","1","1","1","1","1","1","1","1","1"
"Harris Jayaraj is an American film composer.","0","0","0","0","0","-1","-1","-1","-1","0"
"Jennifer Lopez only made non-studio albums.","0","0","0","0","0","-1","-1","-1","-1","0"
"Same Old Love is only a book.","0","0","0","0","0","-1","-1","-1","-1","0"
"Harry Fraud is a hip hop producer.","1","1","1","1","1","1","1","1","1","1"
"MSG has a savory taste similar to that of glutamate.","1","1","1","1","1","1","1","1","1","1"
"Charles de Gaulle was a leader.","1","1","1","1","1","1","1","1","1","1"
"The first series of Sensitive Skin aired in mid-2007.","0","0","0","0","0","-1","-1","-1","-1","0"
"Marvel vs. Capcom: Infinite is part of a series.","1","1","1","1","1","1","1","1","1","1"
"Tim McGraw had a supporting role in The Blind Side.","1","0","1","1","1","-1","1","1","1","1"
"Meteora is an album by an American carpenter.","0","0","0","0","0","-1","-1","-1","-1","0"
"Mani Ratnam is widely credited with altering the profile of Indian cuisine.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Bassoon King is a mountain.","0","0","0","0","0","-1","-1","-1","-1","0"
"Girl is an album.","1","1","1","1","1","1","1","1","1","1"
"The Boeing 767 is an cruise liner .","0","0","0","0","0","-1","-1","-1","-1","0"
"Theresa May has always been unemployed.","0","0","0","0","0","-1","-1","-1","-1","0"
"George Harrison was married to Pattie Boyd in 1970.","0","1","0","1","0","1","-1","1","-1","0"
"Probot had a guitar in it.","1","0","0","0","0","-1","-1","-1","-1","0"
"Liverpool is in the United States.","0","0","0","0","0","-1","-1","-1","-1","0"
"The Maze Runner is a sports competition.","0","0","0","0","0","-1","-1","-1","-1","0"
