Component	Metric to Measure	Description	Placeholder Value
Content Script → Background Script	T_content_to_background	Time to extract URL+HTML and send it to background.js after onUpdated fires.	PLACEHOLDER_CONTENT_TO_BACKGROUND
Background Script → Backend Server	T_background_to_backend	Time to send URL+HTML from background.js to Backend Server (API call).	PLACEHOLDER_BACKGROUND_TO_BACKEND
LLM API - Claude	T_claude	RTT to Claude model endpoint (from backend server).	PLACEHOLDER_T_CLAUDE
LLM API - DeepSeek	T_deepseek	RTT to DeepSeek model endpoint (from backend server).	PLACEHOLDER_T_DEEPSEEK
LLM API - Gemini	T_gemini	RTT to Gemini model endpoint (from backend server).	PLACEHOLDER_T_GEMINI
LLM API - GPT	T_gpt	RTT to GPT model endpoint (from backend server).	PLACEHOLDER_T_GPT
LLM API - LLaMA	T_llama	RTT to LLaMA model endpoint (from backend server).	PLACEHOLDER_T_LLAMA
All LLM APIs (aggregate)	T_all_llm_apis_combined	Total time from dispatching requests to receiving all model outputs (could be max(T_i) if you wait for slowest, or sum if serialized).	PLACEHOLDER_T_ALL_LLM_APIS_COMBINED
Backend → Background Script	T_backend_to_background	Time to send processed result back to background.js.	PLACEHOLDER_BACKEND_TO_BACKGROUND
Background → popup.js	T_background_to_popup	Time for popup.js to fetch stored result from background.js and render it.	PLACEHOLDER_BACKGROUND_TO_POPUP
Overall E2E Latency	T_total	Total time from user click → popup displays result.	PLACEHOLDER_TOTAL
