claim,label,prediction
Natasha Lyonne is not known as Natasha Bianca Lyonne Braunstein.,0,1
An Education was created by a writer Lynn Barber.,0,1
George Harrison was married to Pattie Boyd in 1970.,0,1
Exotic Birds refused to be an opening band for a band from Minneapolis.,0,1
Trevor Griffiths was born in an outer city area.,0,1
Ron Dennis isn't an owner.,0,1
Recovery is the third studio album by Marshall Mathers III.,0,1
West Virginia borders Pennsylvania and Ohio to the north.,0,1
Nymphomaniac (film) is not part of a trilogy along with Antichrist.,0,1
The Book of Mormon predated the Grammy Award for Best Musical Theater Album.,0,1
Japan is represented by several localized governments.,0,1
Moesia excluded Romanian Dobrudja.,0,1
Roland Emmerich is a closeted gay.,0,1
Part of Dilwale Dulhania Le Jayenge was filmed in France.,0,1
Muscarinic acetylcholine receptors are in the cell membranes of certain codes.,0,1
"Duane Chapman's full name is not Duane Lee ""Dog"" Chapman I.",0,1
Raees (film) stars an Indian film actor born in April 1965.,0,1
"Camden, New Jersey is in a county in New Jersey.",0,1
Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,0,1
Ron Dennis isn't an owner.,0,1
Stanley Williams died in 2007.,0,1
The Fly is a science fiction character.,0,1
The Endless River is an album by a band formed in London in 1966.,0,1
See You on the Other Side is a book.,0,1
Shomu Mukherjee died at the age of 61.,0,1
Knocked Up grossed $259 million worldwide.,0,1
"Scotty Moore died on July 28, 2016.",0,1
Wish Upon did not star Ryan Phillipe.,0,1
"Super Bowl XLV was played before February 6, 2011.",0,1
Saw II was released on Blu-ray.,0,1
The Bloods have ambiguous hand signs.,0,1
Raees (film) stars no Pakistani actresses.,0,1
The Sterile Cuckoo was adapted from a biography by John Nichols.,0,1
Home for the Holidays stars the grandchild of Charlie Chaplin,0,1
The horse was not called a Eohippus when it had multiple toes.,0,1
One True Thing is a book.,0,1
Carlos Santana was born in the fifties.,0,1
The New England Patriots won six Super Bowls.,0,1
Recovery is an Eminem song.,0,1
A Milli is an album.,0,1
