claim,label,prediction
Lucy Hale's first name is Karen.,1,0
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,1,0
Aarhus is 187 km north and west of Copenhagen.,1,0
Chris Mullin played with a team that was based out of Indianapolis.,1,0
The Catcher in the Rye never deals with issues of innocence and connection.,1,0
A person who was born in August discovered Uranium-235.,1,0
Probot had a guitar in it.,1,0
Jewell worked with Dr. Dre.,1,0
Quay premiered in the 2010s.,1,0
Veeru Devgan is an action film director.,1,0
Ragtime features Samuel L. Jackson.,1,0
Less than half of the population counted as Romani people in the Republic of Macedonia.,1,0
Tripartite Alliance is a part of the South African Communist Party.,1,0
Ron Dennis owns a catering company.,1,0
Mohra got nine nominations from a magazine in the nineteen nineties.,1,0
Stripes had a person appear in it.,1,0
CHiPs is based on a TV series of the same name.,1,0
Philomena was nominated.,1,0
Ragtime is the final film appearance of James Cagney.,1,0
The Logie Awards took place at a casino for its latest ceremony.,1,0
Richard Dawkins has been awarded prestigious film awards.,1,0
Caesar is Orson Welles's 1937 Julius Caesar adaptation.,1,0
Soyuz is a series of aircraft.,1,0
Baadshah had at least three languages dubbed over it.,1,0
Helmand Province is outside of Afghanistan.,1,0
The House of the Spirits received German Film Awards.,1,0
"NRG Recording Studios is located outside of North Hollywood, California.",1,0
Ripon College's student body stood at a number.,1,0
Brazzers is based in Canada.,1,0
Stephen Moyer worked with Ron Perlman as his co-star in Prince Valiant.,1,0
Pearl (Steven Universe) exists as a magical stone.,1,0
"""Love the Way You Lie"" is Eminem's best-selling single.",1,0
Baadshah had at least three languages dubbed over it.,1,0
James VI and I was a major advocate of a single parliament.,1,0
Alberto Contador won the 2011 Giro d'italiav initially.,1,0
Doug Petrie appeared in a web-based film in 2008.,1,0
Ian Brennan directs.,1,0
Susan Collins became the founding director of the Center for Family Business.,1,0
Edison Machine Works was founded to make big motors running on electricity.,1,0
EA Black Box was based in a country.,1,0
"Rick Yune was on a series that cancelled on December 12, 2016.",1,0
Home for the Holidays stars a producer.,1,0
Helmand Province is outside of Afghanistan.,1,0
Stripes featured a person.,1,0
"On November 5, 1960, Tilda Swinton was born.",1,0
The Danish language is spoken in North America.,1,0
Raees (film) stars an Indian film actor born in 1965.,1,0
John Frusciante was incapable of releasing eleven solo albums.,1,0
Mandy Moore is a writer.,1,0
Stripes had a person appear in it.,1,0
Rhythm Nation was performed on Britain's Got Talent.,1,0
Dreamer (2005 film) was directed by an American director and screenwriter name John Gatins.,1,0
Petyr Baelish is not a real character.,1,0
"In 1987, Cher was released.",1,0
The Paper stars Marisa Tomei.,1,0
Home for the Holidays stars an American producer.,1,0
George III of the United Kingdom did not experience the defeat of France.,1,0
The Office (US) ran for seasons.,1,0
Youtube has been ranked by a company.,1,0
Home for the Holidays stars a famous American actor.,1,0
