"url","label","anthropic_raw","deepseek_raw","gemini_raw","openai_raw","anthropic_vote","deepseek_vote","gemini_vote","openai_vote","phish_ensemble"
"rockandroll.cl/yah5343/Yahoo!AccountVerification.htm","0","1","1","1","1","1","1","1","1","1"
"207.000webhostapp.com","0","1","0","1","1","1","-1","1","1","1"
"https://hjfgcv.omopwai.cn/","0","1","0","1","1","1","-1","1","1","1"
"thespec.com/print/article/625419","1","0","0","0","0","-1","-1","-1","-1","0"
"rarefilmfinder.com/showfilm.php?id=4817","1","0","0","0","0","-1","-1","-1","-1","0"
"canadatrip.co.uk/canadian-affair-2010/","1","0","0","0","1","-1","-1","-1","1","0"
"https://indianexpress.com/article/opinion/columns/the-blasphemy-test-asia-bibi-pakistan-supreme-court-5439881/","1","0","0","0","0","-1","-1","-1","-1","0"
"my-famous-quotes.com/","1","1","0","0","0","1","-1","-1","-1","0"
"www.highpointdesigns.com/weighbridgescales/","1","0","0","0","0","-1","-1","-1","-1","0"
"mobilecommercedaily.com/2011/10/10/credit-union-attracts-25000-new-mobile-banking-users-in-five-weeks","1","0","0","0","0","-1","-1","-1","-1","0"
"http://www.pockatcard.co.jp.lsbvfy.top/","0","1","1","1","1","1","1","1","1","1"
"https://www.amazeonojp.com/","0","1","0","1","1","1","-1","1","1","1"
"autodesk.blogs.com/about.html","1","0","0","0","0","-1","-1","-1","-1","0"
"aac4x4.com.au","0","0","0","0","0","-1","-1","-1","-1","0"
"entergy-louisiana.com/","1","0","0","0","0","-1","-1","-1","-1","0"
"bayrailalliance.org/capitol_corridor","1","0","0","0","0","-1","-1","-1","-1","0"
"ussoccer.com/Tournaments/FIFA-Under-20-World-Cup/2009-FIFA-Under-20-World-Cup.aspx","1","0","0","0","0","-1","-1","-1","-1","0"
"http://www.voipproviderslist.com/wiki/voip-phone/home/","1","0","0","0","0","-1","-1","-1","-1","0"
"www.iol.ie/~scphadr/mac.html","1","1","0","1","0","1","-1","1","-1","0"
"https://ts3toyota-card.xwtgdn.shop/","0","1","1","1","1","1","1","1","1","1"
"http://fcit.usf.edu/Holocaust/TIMELINE/RESIST/NUMBER1.HTM","1","0","0","0","0","-1","-1","-1","-1","0"
"passittobulis.blogspot.com/2011/02/yann-sauve-evolves-from-land-mammal-to.html","1","0","0","0","0","-1","-1","-1","-1","0"
"http://ys5egue.dteted7f7r.et4.4656.5.t65.5.5875.dhirt.4989.rgkhr.594k.e.clearpointsupplies.com/dteted7f7r.et4.4656.5.t65/","0","1","1","1","1","1","1","1","1","1"
"https://subscriber.kcjsy.com/Ops.aspx?5m3k2=zx&5m3k2i0=&5m3k2i0hyfxevc=","0","1","0","1","1","1","-1","1","1","1"
"1songlyrics.com/m/melora-creager/girl-lunar-explorer.html","1","0","0","0","0","-1","-1","-1","-1","0"
"ticketnetwork.com/tickets/sylvia-browne-tickets.aspx","1","0","0","0","0","-1","-1","-1","-1","0"
"www.woll2woll.com/1stClass.html","1","0","0","0","0","-1","-1","-1","-1","0"
"https://doccomo.ne.tujp.xyz/","0","1","0","1","1","1","-1","1","1","1"
"com4ort.com","0","1","0","1","1","1","-1","1","1","1"
"https://signinlogin007.wixsite.com/my-site","0","1","1","1","1","1","1","1","1","1"
"wvfilmcreates.com","0","0","0","0","0","-1","-1","-1","-1","0"
"usidentify.com/l/chamis","1","1","0","1","1","1","-1","1","1","1"
"https://jfgfc.anj0ii.cn/","0","1","1","1","1","1","1","1","1","1"
"https://besselwriggle.com/oc/Login.htm","0","1","0","1","1","1","-1","1","1","1"
"ekonova.nazwa.pl/wc0coj","0","1","0","1","1","1","-1","1","1","1"
"https://kafka.nl/","1","0","0","0","0","-1","-1","-1","-1","0"
"fearthefin.com/2009/9/28/1058055/nhl-season-preview-2009-2010-san","1","0","0","0","0","-1","-1","-1","-1","0"
"www.cmu1h.com/dll/index.htm?app=com-d&amp;","0","1","0","1","1","1","-1","1","1","1"
"cefapk.000webhostapp.com","0","1","0","1","1","1","-1","1","1","1"
"https://etc.bfcbx.cn/","0","1","0","1","1","1","-1","1","1","1"
"samuitv.com/inst1.exe","0","1","0","1","1","1","-1","1","1","1"
"artonym.com/url/Meaghan-Rath","1","1","0","0","0","1","-1","-1","-1","0"
"www.web62.com/engl/fashion/pomp.html","1","1","0","1","0","1","-1","1","-1","0"
"gazillionmovies.com/Actor/K/Ka/KazukiKitamura.htm","1","1","0","0","0","1","-1","-1","-1","0"
"http://daydo-app.com/ibeacon/configuration/Billing/information/verification/secure/center/amz/moises/4da943b781212f12af6a38cec88316f4/welog.php","0","1","0","1","1","1","-1","1","1","1"
"http://phenix-custom.com/aws-ca/8/","0","1","0","1","1","1","-1","1","1","1"
"www.grafx-design.com/coreltut.html","1","0","0","1","0","-1","-1","1","-1","0"
"blog.naturecrops.com.ar/wp-admin/css/cft0/index.php","0","1","0","1","1","1","-1","1","1","1"
"https://5centbux.com/eko/T/Y1.html","0","1","0","1","1","1","-1","1","1","1"
"paidcontent.org/article/419-now-on-facebook-five-more-warner-bros.-films/","1","0","0","0","0","-1","-1","-1","-1","0"
"answers.yahoo.com/question/index?qid=20090413090656AAKbUxN","1","0","0","0","0","-1","-1","-1","-1","0"
"https://staging.medical-pay.jp/api/docomo/sp/order/25/","0","1","0","0","0","1","-1","-1","-1","0"
"beyondsportworld.org/member/view/470/South%20African%20Christian%20Football%20Association%20(SACFA)","1","0","0","0","0","-1","-1","-1","-1","0"
"91.142.90.46/checkupdate","0","1","0","1","1","1","-1","1","1","1"
"utwohotel.com","0","1","0","0","1","1","-1","-1","1","0"
"life.tampabay.com/","1","0","0","0","0","-1","-1","-1","-1","0"
"https://grabify.link/MDSFKH","0","1","1","1","1","1","1","1","1","1"
"http://www.sasiseoen.ddbshs.top/","0","1","1","1","1","1","1","1","1","1"
"the-sports.org/bobsleigh-world-championships-2010-2011-results-women-s26-c0-b0-g111-t2425-u5-v0.html","1","0","0","0","0","-1","-1","-1","-1","0"
"myethirwaellet.com","0","1","1","1","1","1","1","1","1","1"
"aimini.net/view/?fid=oYReo59AhUgX2Omgxtk4","1","1","0","1","0","1","-1","1","-1","0"
