claim,label,prediction
Harold Macmillan worked in politics.,1,1
Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,0,0
Qin dynasty ended around 300 BC.,0,0
Wales has a large region rich in coal deposits.,1,1
Christian Gottlob Neefe was only a train conductor.,0,0
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities.",1,1
Linkin Park was on hiatus from 2000 to 2005.,0,0
Tongan is a Polynesian language.,1,1
Jeong Hyeong-don has worked under an entertainment company.,1,1
Roberto Orci worked with others.,1,1
Granite is a rock.,1,1
The Indian Army is a military force.,1,1
Victoria Palace Theatre is opposite a central London railway terminus.,1,1
Danny Brown is incapable of being a musician.,0,0
Mount Hood is the fourth highest point in the Atlantic.,0,0
Ricardo Montalbán was born in 2009.,0,0
Jeong Hyeong-don was born in 1948.,0,0
The Mighty Ducks was only produced by a Canadian film producer.,0,0
Matthew Gray Gubler is a performer.,1,1
The Hunger Games are not a film trilogy.,0,0
Matthias Corvinus had one of the largest collections of books in Europe during the 15th century.,1,1
Danny Brown is incapable of having any alb
