claim,label,prediction
Natasha Lyonne is not known as Natasha Bianca Lyonne Braunstein.,0,1
Dakota Fanning is not a model.,0,1
The first series of Sensitive Skin aired in mid-2007.,0,1
Sheryl Lee has yet to work with Woody Allen.,0,1
Ron Dennis isn't an owner.,0,1
Celebrity Rehab with Dr. Drew aired on VH1 from 2003 to 2005.,0,1
Edgar Wright is a Gemini.,0,1
West Virginia borders Pennsylvania and Ohio to the north.,0,1
Nymphomaniac (film) is not part of a trilogy along with Antichrist.,0,1
The Book of Mormon predated the Grammy Award for Best Musical Theater Album.,0,1
Japan is represented by several localized governments.,0,1
"Kung Fu Panda grossed $20,300,000 on opening day, in 2006.",0,1
Part of Dilwale Dulhania Le Jayenge was filmed in France.,0,1
Zoe Saldana is a Leo.,0,1
Richard Russell had nothing to do with Damon Albarn's debut album.,0,1
Mohra has yet to be made into a film.,0,1
Larry Wilmore is a Gemini.,0,1
Mike Friedrich is not a publisher.,0,1
"Duane Chapman's full name is not Duane Lee ""Dog"" Chapman I.",0,1
Raees (film) stars an Indian film actor born in April 1965.,0,1
"Camden, New Jersey is in a county in New Jersey.",0,1
Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,0,1
Ron Dennis isn't an owner.,0,1
Stanley Williams died in 2007.,0,1
The Endless River is an album by a band formed in London in 1966.,0,1
Premam had a theatrical run of 151 days in 2012.,0,1
Knocked Up grossed $259 million worldwide.,0,1
"Scotty Moore died on July 28, 2016.",0,1
Wish Upon did not star Ryan Phillipe.,0,1
See.SZA.Run is a single.,0,1
The Quiet is a podcast.,0,1
"Psych (season 2) ended May 15th, 2008.",0,1
Entourage (film) received generally positive reviews.,0,1
Saw II was released on Blu-ray.,0,1
The Bloods have ambiguous hand signs.,0,1
Premam is a 2014 film.,0,1
The Endless River is Journey's fifteenth studio album.,0,1
Tijuana is in Southwestern Mexico.,0,1
The horse was not called a Eohippus when it had multiple toes.,0,1
Cadet Kelly was released in 2003.,0,1
One True Thing is a book.,0,1
Nero is a person.,0,1
Chris Bosh won his first NBA Finals title in 2013.,0,1
Ashton Kutcher was not directed by Ivan Reitman.,0,1
The New England Patriots won six Super Bowls.,0,1
Recovery is an Eminem song.,0,1
