claim,label,prediction
Eric Church is an artist.,1,1
Harold Macmillan worked in politics.,1,1
Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,0,0
Qin dynasty ended around 300 BC.,0,0
Wales has a large region rich in coal deposits.,1,1
Christian Gottlob Neefe was only a train conductor.,0,0
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities.",1,1
Linkin Park was on hiatus from 2000 to 2005.,0,0
Tongan is a Polynesian language.,1,1
Jeong Hyeong-don has worked under an entertainment company.,1,1
Roberto Orci worked with others.,1,1
Granite is a rock.,1,1
The Indian Army is a military force.,1,1
Victoria Palace Theatre is opposite a central London railway terminus.,1,1
Danny Brown is incapable of being a musician.,0,0
Mount Hood is the fourth highest point in the Atlantic.,0,0
Ricardo Montalbán was born in 2009.,0,0
Jeong Hyeong-don was born in 1948.,0,0
The Mighty Ducks was only produced by a Canadian film producer.,0,0
Matthew Gray Gubler is a performer.,1,1
The Hunger Games are not a film trilogy.,0,0
Matthias Corvinus had one of the largest collections of books in Europe during the 15th century.,1,1
Danny Brown is incapable of having any albums.,0,0
"Beaverton, Oregon is only a shantytown.",0,0
The Wonder Years was a boardgame.,0,0
X-Men: Apocalypse was announced in 1970.,0,0
Henry III assumed the throne when he was 65 years old.,0,0
Morgan Fairchild refuses soap opera roles.,0,0
Eric Bana has stayed away from acting completely.,0,0
Rage Against the Machine is a game.,0,0
Michigan is a U.S. state and a leading destination for recreational boating.,1,1
An Education was created by a writer Lynn Barber.,0,0
John Goodman is not an actor.,0,0
"Phoenix, Arizona is in southwestern Mexico.",0,0
The first inauguration of Bill Clinton was held on July 4th.,0,0
X-Men: Apocalypse's story was worked on by multiple people.,1,1
Paramore is Canadian.,0,0
Vampire Academy was only a critical success.,0,0
Mickey Rourke appeared in a superhero film based on a Marvel Comics character.,1,1
Kevin Bacon acted in The Woodsman when he was 93 years old.,0,0
Baz Luhrmann's film Australia stars at least one person.,1,1
"Jarhead, a 2005 American biographical war drama, was directed by Jim Jarmusch.",0,0
The ovary is an organ.,1,1
Jefferson Davis was born in the United States.,1,1
Margaret Thatcher was a prime minister.,1,1
Lucy Hale works in the entertainment industry.,1,1
Microbiologist research promotes information found in immunology.,1,1
Email filtering output is capable of delivering unchanged frogs.,0,0
The Nottingham Forest F.C. refuse to play soccer.,0,0
