claim,label,prediction
Lucy Hale's first name is Karen.,1,0
Chris Mullin played with a team that was based out of Indianapolis.,1,0
The Catcher in the Rye never deals with issues of innocence and connection.,1,0
Dan O'Bannon worked primarily in two genres.,1,0
A person who was born in August discovered Uranium-235.,1,0
Tim McGraw had a supporting role in The Blind Side.,1,0
Probot had a guitar in it.,1,0
DodgeBall: A True Underdog Story 's writer and director was Rawson Marshall.,1,0
Jason Bourne has Julia Stiles as part of the cast.,1,0
Ragtime features Samuel L. Jackson.,1,0
Tripartite Alliance is a part of the South African Communist Party.,1,0
Yale University's alumni includes five U.S. Presidents.,1,0
Uranium-235 was discovered by a person who died in March.,1,0
Richard Dawkins has been awarded prestigious film awards.,1,0
Soyuz is a series of aircraft.,1,0
Helmand Province is outside of Afghanistan.,1,0
"NRG Recording Studios is located outside of North Hollywood, California.",1,0
Stephen Moyer worked with Ron Perlman as his co-star in Prince Valiant.,1,0
The Monster is a work of art.,1,0
"Kesha's full name is Kesha Rosa Sebert, a name given to her by her parents.",1,0
DodgeBall: A True Underdog Story was written and directed by Rawson Marshall.,1,0
James VI and I was a major advocate of a single parliament.,1,0
Maria Theresa ruled for 40 years.,1,0
Doug Petrie appeared in a web-based film in 2008.,1,0
Susan Collins became the founding director of the Center for Family Business.,1,0
The Republic of Macedonia is a country.,1,0
"Rick Yune was on a series that cancelled on December 12, 2016.",1,0
Home for the Holidays stars a producer.,1,0
Helmand Province is outside of Afghanistan.,1,0
The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by Joe Morton three times.,1,0
The Winds of Winter is an epic fantasy novel.,1,0
The Bahamas is a domestically recognized state that comprises a series of islands that form an archipelago.,1,0
John Frusciante was incapable of releasing eleven solo albums.,1,0
Mandy Moore is a writer.,1,0
Rhythm Nation was performed on Britain's Got Talent.,1,0
Petyr Baelish is not a real character.,1,0
"In 1987, Cher was released.",1,0
The Paper stars Marisa Tomei.,1,0
Home for the Holidays stars an American producer.,1,0
Moscovium is a transactinide element.,1,0
George III of the United Kingdom did not experience the defeat of France.,1,0
The Office (US) ran for seasons.,1,0
The CONCACAF Champions League is put together for football unions in Central America.,1,0
Soul Food was created in 1997.,1,0
Community Connect Inc. launched Glee.com.,1,0
Team Fortress 2 development was led by John Cook.,1,0
Rage Against the Machine performed at live venues and festivals up until 2011.,1,0
Temple Grandin stars Claire Danes.,1,0
Menace II Society is set in the 1990s.,1,0
The Monster is a work of art.,1,0
