group,url,label,api_prediction,mapped_prediction
correct,rockandroll.cl/yah5343/Yahoo!AccountVerification.htm,0,1,0
correct,207.000webhostapp.com,0,1,0
correct,https://hjfgcv.omopwai.cn/,0,1,0
correct,thespec.com/print/article/625419,1,0,1
correct,rarefilmfinder.com/showfilm.php?id=4817,1,0,1
correct,https://indianexpress.com/article/opinion/columns/the-blasphemy-test-asia-bibi-pakistan-supreme-court-5439881/,1,0,1
correct,www.highpointdesigns.com/weighbridgescales/,1,0,1
correct,mobilecommercedaily.com/2011/10/10/credit-union-attracts-25000-new-mobile-banking-users-in-five-weeks,1,0,1
correct,http://www.pockatcard.co.jp.lsbvfy.top/,0,1,0
correct,https://www.amazeonojp.com/,0,1,0
correct,autodesk.blogs.com/about.html,1,0,1
correct,entergy-louisiana.com/,1,0,1
correct,bayrailalliance.org/capitol_corridor,1,0,1
correct,ussoccer.com/Tournaments/FIFA-Under-20-World-Cup/2009-FIFA-Under-20-World-Cup.aspx,1,0,1
correct,http://www.voipproviderslist.com/wiki/voip-phone/home/,1,0,1
correct,https://ts3toyota-card.xwtgdn.shop/,0,1,0
correct,http://fcit.usf.edu/Holocaust/TIMELINE/RESIST/NUMBER1.HTM,1,0,1
correct,passittobulis.blogspot.com/2011/02/yann-sauve-evolves-from-land-mammal-to.html,1,0,1
correct,http://ys5egue.dteted7f7r.et4.4656.5.t65.5.5875.dhirt.4989.rgkhr.594k.e.clearpointsupplies.com/dteted7f7r.et4.4656.5.t65/,0,1,0
correct,https://subscriber.kcjsy.com/Ops.aspx?5m3k2=zx&5m3k2i0=&5m3k2i0hyfxevc=,0,1,0
correct,ticketnetwork.com/tickets/sylvia-browne-tickets.aspx,1,0,1
correct,www.woll2woll.com/1stClass.html,1,0,1
correct,https://doccomo.ne.tujp.xyz/,0,1,0
correct,com4ort.com,0,1,0
correct,https://signinlogin007.wixsite.com/my-site,0,1,0
correct,https://jfgfc.anj0ii.cn/,0,1,0
correct,https://besselwriggle.com/oc/Login.htm,0,1,0
correct,ekonova.nazwa.pl/wc0coj,0,1,0
correct,https://kafka.nl/,1,0,1
correct,fearthefin.com/2009/9/28/1058055/nhl-season-preview-2009-2010-san,1,0,1
correct,www.cmu1h.com/dll/index.htm?app=com-d&amp;,0,1,0
correct,cefapk.000webhostapp.com,0,1,0
correct,https://etc.bfcbx.cn/,0,1,0
correct,samuitv.com/inst1.exe,0,1,0
correct,http://daydo-app.com/ibeacon/configuration/Billing/information/verification/secure/center/amz/moises/4da943b781212f12af6a38cec88316f4/welog.php,0,1,0
correct,http://phenix-custom.com/aws-ca/8/,0,1,0
correct,www.grafx-design.com/coreltut.html,1,0,1
correct,blog.naturecrops.com.ar/wp-admin/css/cft0/index.php,0,1,0
correct,https://5centbux.com/eko/T/Y1.html,0,1,0
correct,paidcontent.org/article/419-now-on-facebook-five-more-warner-bros.-films/,1,0,1
correct,answers.yahoo.com/question/index?qid=20090413090656AAKbUxN,1,0,1
correct,https://staging.medical-pay.jp/api/docomo/sp/order/25/,0,1,0
correct,beyondsportworld.org/member/view/470/South%20African%20Christian%20Football%20Association%20(SACFA),1,0,1
correct,91.142.90.46/checkupdate,0,1,0
correct,life.tampabay.com/,1,0,1
correct,https://grabify.link/MDSFKH,0,1,0
correct,http://www.sasiseoen.ddbshs.top/,0,1,0
correct,the-sports.org/bobsleigh-world-championships-2010-2011-results-women-s26-c0-b0-g111-t2425-u5-v0.html,1,0,1
correct,myethirwaellet.com,0,1,0
correct,https://qgcbbay.cn,0,1,0
correct,bank-americaverify.github.io,0,1,0
correct,https://kakunin.azzq-manxmo4n.icu/,0,1,0
correct,punternet.com/forum/index.php/topic/16207-anyone-a-girl-who-can-clench-her-pussy-muscles/,1,0,1
correct,uk.ask.com/wiki/Peru_national_football_team,1,0,1
correct,le52.icu,0,1,0
correct,http://aplacetofloat.com/where-to-float/listing/spacetime-tanks,1,0,1
correct,http://ugfzkscqzl.duckdns.org/,0,1,0
correct,localschooldirectory.com/district-schools/101260303/Albert-Gallatin-Area-School-District/PA,1,0,1
correct,traleedynamos.com/,1,0,1
correct,youtube.com/watch?v=B9nztnpSiPg,1,0,1
correct,straightup.ch/~kaiser/includes/.dd/8e86bdc22fbb89d7d337ae50e15d22ea/webscr.htm,0,1,0
correct,https://dhlgpi.com/absalogin.htm,0,1,0
correct,test.uvkoladiya.com/Https-/-/VotreEcpaceAbonne/Facture-80109658644-identifiez-vous2016/trust@france.freemobile.fr/mobile.fr-esspace_identification-bienvenue-dans_votre_espaceabonne_moncompte/,0,1,0
correct,imdb.com/video/imdb/vi513934105/,1,0,1
correct,https://ameozon.cqitjjk.cn/,0,1,0
correct,en-gb.facebook.com/fraserjgibson,1,0,1
correct,redefinemag.com/music/interviews_music_2.php?artist=Rogue-Wave&id=54,1,0,1
correct,https://vteeddddd.000webhostapp.com/s/ocnmails1-0.html,0,1,0
correct,napless-cement.000webhostapp.com,0,1,0
correct,en.wikipedia.org/wiki/Claude_Tousignant,1,0,1
correct,paypal.com.cgi.bin.gfgkdmkg564546sqdfsdfjhfd.ultramed.com.au/90ba245da97d671298bcfd6dedd457e1/,0,1,0
correct,rtf98mn.tk,0,1,0
correct,childpsychologistminneapolis.com/wp-content/convit/,0,1,0
correct,http://www.linfo.org/server.html,1,0,1
correct,ditillo2.blogspot.com/2009/09/louis-cyr-w-pullum.html,1,0,1
correct,newswire.ca/en/story/679947/astral-now-calls-downtown-montreal-home-the-building-located-at-1800-mcgill-college-avenue-becomes-maison-astral,1,0,1
correct,safraempresas.site,0,1,0
correct,http://www.medtronic.com/content/dam/medtronic-com-m/mdt/cardio/documents/cv-diagnosis-crosswalks-1a.pdf,1,0,1
correct,https://118.27.21.73,0,1,0
correct,paypallimited.myvnc.com,0,1,0
correct,www.itee.uq.edu.au/~smith/book.html,1,0,1
correct,www.governmentauctions.org/blog/?feed=rss2,1,0,1
correct,fanbase.com/Jake-Botts,1,0,1
correct,arianguished.co.kr,0,1,0
correct,atletismobarrutia.com/en/uk/webscrlogin.php,0,1,0
correct,http://logos.wikia.com/wiki/NBC_Sports,1,0,1
correct,remstarpro2.respironics.com/,1,0,1
correct,iitp.org.br/invel/wp-includes/quotationfile/doc/dxx/8798dc6dac0f6fe9b1a2c733ff4df04c,0,1,0
correct,myy-acccccc.blogspot.com,0,1,0
correct,genforum.genealogy.com/ewing/page2.html,1,0,1
correct,http://bpaghptefr.duckdns.org/,0,1,0
correct,http://en.academic.ru/dic.nsf/enwiki/1529147,1,0,1
correct,https://pcsoe5.my03.com/,0,1,0
correct,www.tradepub.com/free/ri,1,0,1
