claim,label,prediction
An Education was created by a writer Lynn Barber.,0,1
"Simi Valley, California, reported a median household income of $69,723 in the 2012 U.S. Census.",0,1
Edgar Wright is a Gemini.,0,1
Recovery is the third studio album by Marshall Mathers III.,0,1
West Virginia borders Pennsylvania and Ohio to the north.,0,1
The Book of Mormon predated the Grammy Award for Best Musical Theater Album.,0,1
Japan is represented by several localized governments.,0,1
Manmohan Singh was only the second follower of Sikhism in office.,0,1
"In 2016, Emilia Clarke was named Esquire's Sexiest Woman Alive.",0,1
Part of Dilwale Dulhania Le Jayenge was filmed in France.,0,1
Zoe Saldana is a Leo.,0,1
The Alfred P. Murrah Federal Building was only located at 300 N.W. 5th Street.,0,1
"Gory Guerrero died on April 12th, 1990.",0,1
The Closer's final season was its ninth season.,0,1
Frozen ranks as the second-highest-grossing original film of all time.,0,1
"Camden, New Jersey is in a county in New Jersey.",0,1
Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,0,1
Stanley Williams died in 2007.,0,1
The Fly is a science fiction character.,0,1
The Endless River is an album by a band formed in London in 1966.,0,1
See You on the Other Side is a book.,0,1
Knocked Up grossed $259 million worldwide.,0,1
"Scotty Moore died on July 28, 2016.",0,1
Rob Sheridan is a Canadian graphic designer.,0,1
"Super Bowl XLV was played before February 6, 2011.",0,1
"Psych (season 2) ended May 15th, 2008.",0,1
Saw II was released on Blu-ray.,0,1
The Prowler made his first appearance in The Amazing Spider-Man #68.,0,1
Premam is a 2014 film.,0,1
Home for the Holidays stars the grandchild of Charlie Chaplin,0,1
Tijuana is in Southwestern Mexico.,0,1
Cadet Kelly was released in 2003.,0,1
The Raven (2012 film) was released in Chile.,0,1
One True Thing is a book.,0,1
Nero is a person.,0,1
Chris Bosh won his first NBA Finals title in 2013.,0,1
Carlos Santana was born in the fifties.,0,1
See You on the Other Side was certified platinum in March 2016.,0,1
The New England Patriots won six Super Bowls.,0,1
