claim,label,prediction
Lucy Hale's first name is Karen.,1,0
Ed Gein had worked at several local graveyards.,1,0
Pirates of the Caribbean was added to Tokyo Disneyland in 1983.,1,0
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,1,0
Aarhus is 187 km north and west of Copenhagen.,1,0
The Catcher in the Rye never deals with issues of innocence and connection.,1,0
A person who was born in August discovered Uranium-235.,1,0
Roberto Orci wrote Star Trek.,1,0
Girl is an album.,1,0
Probot had a guitar in it.,1,0
Lebanon is the place in which John Dolmayan was born.,1,0
Veeru Devgan is an action film director.,1,0
Producing jazz records is a career of Fred Seibert.,1,0
Ragtime features Samuel L. Jackson.,1,0
Tripartite Alliance is a part of the South African Communist Party.,1,0
Ron Dennis owns a catering company.,1,0
"Harold Macmillan died on December 29, 1986.",1,0
Duff McKagan was born on February 5.,1,0
Mohra got nine nominations from a magazine in the nineteen nineties.,1,0
Pirates of the Caribbean was added to Tokyo Disneyland in 1983.,1,0
Uranium-235 was discovered by a person who died in March.,1,0
The Logie Awards took place at a casino for its latest ceremony.,1,0
Warren Beatty worked with Trevor Griffiths.,1,0
Richard Dawkins has been awarded prestigious film awards.,1,0
Caesar is Orson Welles's 1937 Julius Caesar adaptation.,1,0
Soyuz is a series of aircraft.,1,0
The Nobel Prize in Chemistry was given to a human from the Kingdom of the Netherlands.,1,0
Helmand Province is outside of Afghanistan.,1,0
The House of the Spirits received German Film Awards.,1,0
Brown University's main campus is located in the city in Rhode Island with the highest population.,1,0
Earl Scruggs was born in January.,1,0
"NRG Recording Studios is located outside of North Hollywood, California.",1,0
Ripon College's student body stood at a number.,1,0
"In 1860, Arthur Schopenhauer died.",1,0
Stephen Moyer worked with Ron Perlman as his co-star in Prince Valiant.,1,0
Color of Night won a Golden Raspberry Award in 1994.,1,0
Pearl (Steven Universe) exists as a magical stone.,1,0
Johnny Galecki's character in The Big Bang Theory had a doctoral degree.,1,0
"Kesha's full name is Kesha Rosa Sebert, a name given to her by her parents.",1,0
"The End of Time is the Tenth Doctor's final adventure, terminating in his death.",1,0
Unison (Celine Dion album) was originally released in 1990.,1,0
Warren Beatty worked with Trevor Griffiths.,1,0
Alberto Contador won the 2011 Giro d'italiav initially.,1,0
Doug Petrie appeared in a web-based film in 2008.,1,0
Susan Collins became the founding director of the Center for Family Business.,1,0
Edison Machine Works was founded to make big motors running on electricity.,1,0
William Blackstone went to Pembroke College in Oxford.,1,0
EA Black Box was based in a country.,1,0
Project Y's mission was to design the first atomic bombs under the Manhattan Project.,1,0
The Republic of Macedonia is a country.,1,0
"Rick Yune was on a series that cancelled on December 12, 2016.",1,0
Tye Sheridan was an actor in The Tree of Life.,1,0
Home for the Holidays stars a producer.,1,0
Helmand Province is outside of Afghanistan.,1,0
Harris Jayaraj was born in January of 1975.,1,0
The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by Joe Morton three times.,1,0
"On November 5, 1960, Tilda Swinton was born.",1,0
Producing jazz records is a career of Fred Seibert.,1,0
Ice-T signed to Sire Records.,1,0
The Danish language is spoken in North America.,1,0
Tye Sheridan was an actor in The Tree of Life.,1,0
John Frusciante was incapable of releasing eleven solo albums.,1,0
2 Hearts is a musical composition by Minogue.,1,0
A. P. J. Abdul Kalam was voted in as the Head of State of India.,1,0
The Alfred P. Murrah Federal Building was a United States federal government complex.,1,0
Rhythm Nation was performed on Britain's Got Talent.,1,0
Dreamer (2005 film) was directed by an American director and screenwriter name John Gatins.,1,0
Stanley Williams was executed in 2005.,1,0
"In 1987, Cher was released.",1,0
Trevor Griffiths was born in a city.,1,0
Home for the Holidays stars an American producer.,1,0
George III of the United Kingdom did not experience the defeat of France.,1,0
Brie Larson and Destin Daniel worked together.,1,0
"In 681 BCE, Sennacherib was assassinated.",1,0
Japan national football team had second round advancements in 2010.,1,0
Warren Beatty worked with Trevor Griffiths.,1,0
The CONCACAF Champions League is put together for football unions in Central America.,1,0
Stephen Moyer was in Prince Valiant.,1,0
"Henry Condell had a widow that was buried on October 3rd, 1635.",1,0
Soul Food was created in 1997.,1,0
Joe Rogan appeared in Hardball.,1,0
Community Connect Inc. launched Glee.com.,1,0
Team Fortress 2 development was led by John Cook.,1,0
Temple Grandin stars Claire Danes.,1,0
